INPUT:first_url	INPUT:second_url	INPUT:first_text	INPUT:second_text	GOLDEN:result
https://t.me/bbcrussian/36461	https://t.me/ovdinfolive/15263	"Бывшая сотрудница ""Первого канала"" Овсянникова заочно арестована по делу о ""фейках"" об армии. Басманный суд Москвы заочно арестовал бывшего редактора ""Первого канала"" Марину Овсянникову, выступившую против войны в Украине и обвиненную в распространении недостоверной информации про российскую армию. С августа Овсянникова находилась под домашним арестом по этому обвинению, однако в октябре ее муж заявил, что она сбежала из-под домашнего ареста с дочерью - и ее объявили в розыск. Ранее Овсянникову дважды штрафовали по административной статье о ""дискредитации"" российской армии. В первый раз поводом стало ее выступление у суда, где был арестован политик Илья Яшин (внесен в реестр ""физлиц-иноагентов""). Во второй - ее антивоенный пост в ""Фейсбуке"". Однако теперь на экс-редактора завели уже уголовное дело в связи с июльским антивоенным пикетом."	В Москве суд признал девушку виновной дискредитации армии из-за листовок с текстом «Привезем гроб в каждый дом за счет государства». В суде ее представляла адвокат от ОВД-Инфо Мария Вараева. Викторию Лион задержали вместе с Дарьей Ивановой 25 сентября по подозрению в расклейке антивоенных листовок. В ОВД по району Люблино их обеих продержали более 11 часов, оскорбляя и угрожая. Также Иванова рассказала о том, что к ней полицейские применили физическое насилие. 20 октября Люблинский районный суд назначил Лион штраф в размере 30 тысяч рублей.	bad
https://t.me/tass_agency/162083	https://t.me/news_sirena/6416	Администрация Херсонской области призвала мирных жителей Херсона покинуть город и переправиться на левый берег Днепра в связи с опасностью обстрелов.	Российская администрация Херсона заявила, что жители «должны незамедлительно покинуть город» Администрация требует, чтобы херсонцы эвакуировались на левый берег Днепра, поскольку сейчас «напряженная ситуация на фронте». Жителям советуют взять деньги и документы. Переправлять граждан собираются на катерах. Замглавы администрации Кирилл Стремоусов 13 октября сказал, что «никакой эвакуации нет», а уже 18 числа призвал к «максимально быстрой эвакуации». Вчера американский Институт изучения войны сообщил, что российская армия отступает из западной части Херсонской области.	ok
https://t.me/stormdaily/52501	https://t.me/rtvinews/32600	Под Гатчиной в Ленобласти осыпалась свалка. По оценке местного Госэконадзора, речь идет о нескольких тысячах кубометров мусора. Предварительная причина — нарушение технологии складирования отходов. Прокуратура начала проверку.	В Ленобласти обрушилась мусорная свалка. На полигоне ТБО «Новый Свет-ЭКО» в Гатчинском районе Ленобласти сошла «мусорная лавина». Прокуратура начала проверку, а в комитете госэконадзора региона назвали вероятной причиной происшествия «нарушение технологии складирования отходов» : РИА Новости. Подпишись на RTVI.	ok
https://t.me/bbbreaking/139081	https://t.me/rtvinews/32670	Воздушная тревога объявлена в Николаевской и Кировоградской областях Украины, сообщили местные власти.	Воздушная тревога объявлена в Киеве, Одессе, а также Киевской, Ивано-Франковской, Черниговской, Черкасской и Полтавской областях, сообщили местные власти.	bad
https://t.me/rozetked/13940	https://t.me/Ateobreaking/74667	Microsoft выпустила бета-версию PC Manager — программы, которая по своим функциям похожа на CCleaner. Например, у пользователей есть возможность управления хранилищем компьютера и быстрого завершения процессов, а ещё функция смены браузера по умолчанию.	Россия потеряла каждого четвертого топ-программиста. 23% разработчиков с аккаунтами на Github уехали из страны — The Moscow Times.	bad
https://t.me/kommersant/41608	https://t.me/bbbreaking/138944	Паритетное СП «Соллерс» и японской Isuzu получило одобрение правительства на расторжение специнвестконтракта. Компания так и не выполнила свои обязательства. Хотя отказ от СПИК и последующий выход Isuzu из СП обсуждался еще до кризиса, сейчас под вопросом в принципе продолжение работы компании в России.	Из-за логистических проблем и ограничений со стороны Японии на поставки грузовиков работа японской Isuzu в России оказалась под вопросом, узнали СМИ. Правительство также одобрило расторжение специнвестконтракта «Исузу Соллерс».	ok
https://t.me/rtvimain/57079	https://t.me/varlamov_news/35959	Писатель и журналист Михаил Зыгарь также добавлен в список СМИ-иноагентов.	В реестр иноагентов попал журналист Михаил Зыгарь.	ok
https://t.me/theinsider/15069	https://t.me/rgrunews/60188	Мария Захарова возмутилась тем, что «Талибан» назвал СССР наравне с НАТО и США в числе тех, кто нанес ущерб экологии Афганистана. Она заявила, что США применили в Афганистане самое смертоносное из неядерных видов оружия, и описала страшные последствия. Однако слова Захаровой ничем не подтверждаются.	"Заявления Марии Захаровой: ▫Россия рассматривает задержания в Италии и ФРГ граждан РФ по запросу США как продолжение развернутой Вашингтоном кампании по захвату россиян. ▫Задержание граждан РФ в ФРГ и Италии устроено как показательная расправа, чтобы запугать деловые круги в России и за рубежом. ▫Россия не оставит без ответа охоту за российскими гражданами по линии американских правоохранителей и спецслужб; ▫Гражданам РФ, которые могут вызвать ""интерес"" США, необходимо воздержаться от зарубежных поездок в любые недружественные страны России. Российская газета."	bad
https://t.me/stormdaily/52586	https://t.me/tass_agency/162076	Лидер партии «Братья Италии» Джорджа Мелони приведена к присяге в качестве нового премьер-министра Италии.	Новый премьер-министр и правительство Италии приведены к присяге. 45-летняя Джорджа Мелони стала первой женщиной-премьером в стране. Видео: ТАСС/Ruptly.	ok
https://t.me/nexta_live/39259	https://t.me/avtozaklive/16410	СБУ задержали российского агента прямо во время совещания у мэра Николаева Сенкевича. Им оказался начальник коммунального предприятия «Николаевская ритуальная служба».	В Москве во время занятий задержали члена «Альянса учителей» В Москве во время занятий в 1747 школе задержали учителя математики и члена «Альянса учителей» Татьяну Червенко. Сейчас женщина находится в ОВД Митино. Об этом сообщил активист Иван Дроботов. Поводом для задержания мог стать отказ Татьяны проводить так называемые «Разговоры о важном» и последующим интервью телеканалу «Дождь». Также после этого директор школы и член партии «Единая Россия» Марина Сотникова написала на Червенко донос. UPD: Татьяну Червенко отпустили из ОВД Митино, — Иван Дроботов.	bad
