INPUT:first_url	INPUT:second_url	INPUT:first_text	INPUT:second_text	GOLDEN:result	HINT:text
https://t.me/lentachold/54420	https://t.me/mountshow/11319	Родственницы мобилизованных из Курской области записали видеообращение и рассказали, что их близкие уже девять дней не выходят на связь. По словам женщин, помогать им никто не спешит. «Телевидение не хочет с нами сотрудничать, потому что, видимо, боятся. Обращались к губернатору Роману Старовойту — он сказал, что некомпетентен в этом вопросе», — пожаловались они.	Болгария отказалась от участия в «Евровидении-2023» из-за отсутствия денег, — местные СМИ. Ивы сажают на зиму))	bad	Совсем разные новости
https://t.me/dwglavnoe/20475	https://t.me/u_now/72464	"Как жители Германии относятся к России? 25% немцев ""абсолютно не ощущают для себя военной угрозы со стороны России"", свидетельствуют итоги опроса Фонда имени Кёрбера. Еще 50% респондентов оценивают такую угрозу как ""невысокую"" и лишь 22% считают ее серьезной. При этом на вопрос о том, с кем Германии важнее поддерживать тесные отношения - с США или Россией, участники опроса теперь отвечают совсем иначе, чем еще несколько лет назад. Если в 2018 году 32% респондентов делали выбор в пользу России, сейчас таких лишь 13% (США выбирают 72%). Переломным для жителей Германии стал 2020 год, когда отравили Алексея Навального и начались протесты в Беларуси, отмечают социологи. Если ссылка на материал не открывается, попробуйте эту."	Немецкие министры просят выделить на военную помощь Киеву в 2023 году еще €1,5 млрд, - Der Spiege. На следующий год на помощь Украине предусмотрено почти €700 млн, однако Бербок и Ламбрехт с этим не согласны. Главы МИД и Минобороны требуют от министра финансов Линднера увеличить сумму до €2,2 млрд.	bad	Обе новости про Германию, но про разные события
https://t.me/stalin_gulag/5708	https://t.me/doxajournal/23581	Шикарный диалог мобилизованного с представителем военкомата в Чувашии. Недорогой россиянин наслушался по телевизору басен про 300 тысяч и быстренько побежал в военкомат за автоматом, там ему в торжественной обстановке заявили, что никто ему ничего не обещал и тут Буратино произносит сокровенное «нас наебали»	Более 100 мобилизованных из Чувашской республики устроили бунт в учебном центре в Ульяновске из-за отсутствия выплат. Видео с возмущенными опубликовали «Гулагу.Нет», «Сердитая Чувашия» и ASTRA. В кадре один из мобилизованных говорит, что военком обещал ему выплату в течение двух-трех дней после прибытия в учебный центр. «Нас наебали просто, вот и все», — говорит резервист. Мобилизованные заявили, что отказываются участвовать в войне в Украине, пока не получат обещанные деньги. Сообщается, что для подавления бунта в учебный центр стянули ОМОН и Росгвардию. По данным «Сердитой Чувашии», протестующих «успокоили». Ранее канал сообщал, что в том же учебном центре мобилизованный умер от побоев. Если ссылка не открывается, читайте на зеркале.	ok	Новости про одно и то же видео
https://t.me/voynareal/39939	https://t.me/novaya_europe/7733	На россии опять самолетопад: на этот раз военный самолёт упал в Иркутске. Раша СМИ сообщает, что предварительно - это Су-30, который вылетел с авиазавода. Борт упал в микрорайоне Ново-Ленино на двухэтажный дом. Информации о пострадавших и погибших пока нет. Видимо задача кацапских пилотов уничтожить как можно больше своих гражданских.	В Иркутске на дом упал военный самолет. Предположительно, это был Су-30. Видео: Mash.	ok	Новости про одно и то же
https://t.me/uranews/68886	https://t.me/currenttime/17962	Глава Чечни Рамзан Кадыров опубликовал в Telegram видео с его сыновьями Эли и Адамом на передовой. По его словам, они помогли обеспечить огневое прикрытие наступающим бойцам.	"Рамзан Кадыров рассказал о бое в Украине, в котором приняли участие его сыновья 14, 15 и 16 лет. Ахмат, Эли (Зелимхан) и Адам Кадыровы посетили линию соприкосновения, где сейчас идут ""ожесточенные бои с украинскими националистами"". Пост об этом появился в телеграм-канале Рамзана Кадырова. ""Вместе с дорогим БРАТОМ, командиром специального Полка полиции имени Героя России Ахмата-Хаджи Кадырова Замидом Чалаевым, Ахмат, Эли и Адам пробрались вплотную к позициям противника и обеспечили огневое прикрытие наступающим бойцам. Также, пользуясь случаем, они обратились к находящимся на той стороне чеченоговорящим шайтанам с предложением выйти на передовую и доказать свою приверженность к европейским ценностям в бою"", – написал в телеграм-канале Кадыров. Также к посту приложено видео, на котором подростки неумело обращаются с разными типами оружия, стоя в небольшом окопе, вырытом в поле. Их действия сложно сопоставить с описанным Кадыровым эпизодом. На фоне слышна активная перестрелка, но в кадре никого, кроме Чалаева и детей Кадырова нет. Третьего октября Кадыров анонсировал их отправку ""на самые сложные участки линии соприкосновения"" роликом тренировок на полигоне. Конвенция ООН о правах ребенка, которую ратифицировала Россия, прямо запрещает участие детей младше 15 лет в боевых действиях. Их вовлечение в вооруженные конфликты Международный уголовный суд считает военным преступлением. Семейный кодекс России может квалифицировать такие действия как жестокое обращение с ребенком, злоупотребление родительскими правами, а также совершение умышленного преступления против жизни или здоровья ребенка. О лишении Кадырова родительских прав на этот момент неизвестно. Редакция Настоящего Времени не может оперативно проверить местонахождение детей Рамзана Кадырова и их участие в боевых действиях в Украине."	ok	Новости про одно и то же
https://t.me/meduzalive/71909	https://t.me/SolovievLive/135905	Основатель WarGonzo Семен Пегов ранен под Донецком. Телеканал Минобороны «Звезда» сообщил, что Семен Пегов, предположительно, получил ранение из-за взрыва противопехотной мины «Лепесток».	Раненого Семёна Пегова эвакуируют Под Донецком на передовой у села Водяное военкор Семён Пегов получил ранение в ногу от мины «лепесток». Проект публикует кадры эвакуации военкора.	bad	Развитие события - это другое событие
https://t.me/readovkanews/45058	https://t.me/pdmnews/53576	В Китае исключают оппонентов — бывшего генсека Коммунистической партии Китая Ху Цзиньтао насильно вывели из зала заседания. В Китае состоялся 20-й съезд Коммунистической партии: на заседании было порядка 2,3 тысяч делегатов со всей страны, но один оказался лишним. Бывшего генсека партии Китая Ху Цзиньтао насильно вывели из зала. На кадрах видно, как к Ху подходят два стюарда и провожают его к выходу. Политик лишь растерянно смотрит по сторонам, но не находит поддержки. Отъезд Ху Цзиньтао в партии не объяснили. Ху Цзиньтао выступает за поддержание хороших отношений США, а также является противником силового решения вопроса Тайваня. Такой вывод из зала «под ручки», вероятно, является символической точкой в политической карьере Ху.	Это бывший председатель КНР Ху Цзиньтао. На видео его в буквальном смысле выставляют за дверь прямо по ходу XX съезда Компартии Китая. Что с ним произошло за пределами зала заседаний, пока не сообщается. В эти дни в Китае проходят выборы нового состава ЦК. По одной из версий экспертов, не прошедший в Центральный комитет Ху Цзиньтао отказался покидать своё место рядом с нынешним главой КНР Си Цзиньпином. Поэтому его увели оттуда под белы рученьки принудительно. По другой версии, Ху Цзиньтао арестовали. До этого эпизода его, кстати, называли одним из основных конкурентов Цзиньпина на выборах председателя КНР.	ok	Новости про одно и то же
https://t.me/rgrunews/60166	https://t.me/breakingmash/39244	Актриса Анна Большова стала участницей смертельного ДТП в Калужской области. Российская газета.	Актриса Анна Большова насмерть сбила женщину в Калужской области. 14 октября артистка ехала на своём Audi Q3 через деревню Грачёвка. Предварительно, она не увидела как женщина лет 30-35 переходит дорогу в темноте. На повороте с Садовой улицы на Совхозную та угодила под колёса. Большова сама вызвала ей скорую, но пострадавшая скончалась на месте. Актриса была трезвой — её продули на месте. Полиция проводит проверку.	ok	Новости про одно и то же
https://t.me/rtvinews/32766	https://t.me/milinfolive/92373	Электро-, тепло- и водоснабжение пострадавшего от обстрела Шебекино восстановлено. Об этом в своем телеграм-канале написал губернатор Белгородской области Вячеслав Гладков. «Пожар на гражданских объектах полностью потушен. Подразделениями МЧС идет проливка и разборка конструкций», — добавил глава региона.	Губернатор Белгородской области Вячеслав Гладков подтвердил обстрел Шебекино и сообщал, что в результате, по предварительным данным, пострадало пять человек.	bad	Разные новости
https://t.me/sotaproject/48472	https://t.me/Ateobreaking/74659	В реестр СМИ-иностранных агентов занесли ООО «Иновещание» — юрлицо, учреждённое Валерием Соловьём.	Минюст включил в реестр СМИ-иноагентов общество «Иновещание» Его учредителем является политолог Валерий Соловей, который также находится в списке иноагентов.	ok	Новости про одно и то же
