INPUT:first_url	INPUT:second_url	INPUT:first_text	INPUT:second_text	GOLDEN:result
https://t.me/Ateobreaking/75270	https://t.me/stormdaily/53018	Украина просит Белый дом оказать давление на Израиль, чтобы он предоставил Киеву военную помощь, и проверить, насколько он соблюдает антироссийские санкции, — издание Hill со ссылкой на украинского посла Евгения Корнийчука.	Именно Белый дом способен надавить на Киев, чтобы активизировать переговорный процесс. Так считает обозреватель американского журнала The National Interest Хью Де Сантис. Журналист отмечает, что ошибочная «бинарная политика» Байдена, в которой американский президент делит все страны мира на демократии и автократии, тормозит осознание необходимости переговоров с Москвой. Диалогу мешает и привычная для США роль гегемона. «Поскольку американцы определяют Соединенные Штаты как нацию-искупителя, они по-прежнему ожидают, что будут устанавливать правила в мире, который становится все более многополярным. В меняющемся мировом порядке, в котором Америка больше не доминирует, Соединенным Штатам необходимо делать трудный выбор».	bad
https://t.me/radiosvoboda/30238	https://t.me/RUSanctions/11857	Из России может уйти финская фармакологическая компания Orion Pharma. В первых двух кварталах 2022 года на Россию и восточноевропейские рынки приходилось до 17% от всего объема продаж OP ($44 млрд). Более высокие показатели продаж компании фиксируются только в Финляндии. Если это произойдет, это станет первым прецедентом сворачивания бизнес-операций в РФ западной фармкомпанией.	Первая западная фармкомпания полностью уходит из РФ. До конца года РФ покинет первая западная фармацевтическая компания — финская Orion Pharma. Она уже начала ликвидацию российского офиса, пишут «Ведомости» со ссылкой на источник, знакомый с планами компании. По его словам, в местном подразделении идет увольнение сотрудников. Эту информацию подтвердил источник, близкий к топ-менеджменту ОР. В рейтинге DSM Group компания занимала 90-е место среди крупнейших фармкомпаний РФ. На российском рынке она работает 15 лет. Компания выпускала препарат «Метипред», предназначенный для лечения ревматоидного артрита. На лекарство приходилось 82% всех продаж в РФ препаратов с международным непатентованным наименованием «метилпреднизолон», говорит директор по развитию аналитической компании RNC Pharma Николай Беспалов. Метилпреднизолон требуется десяткам тысяч пациентов в РФ, говорит врач-ревматолог Александр Елонаков. По его словам, препарат назначают для приема внутрь при большом количестве заболеваний — от ревматоидного артрита и бронхиальной астмы до рака и гепатита.	ok
https://t.me/ovdinfolive/15616	https://t.me/ovdinfolive/15617	На помощь к мужчине выехал адвокат от ОВД-Инфо Рафаиль Поляков.	Задержанного в Петербурге Максима Слободяна отпустили из отдела полиции с протоколом по статье о дискредитации российской армии (ч. 1 ст. 20.3.3 КоАП). Ему помогал адвокат от ОВД-Инфо Рафаиль Поляков.	bad
https://t.me/chtddd/56401	https://t.me/ru2ch_news/58662	В Новой Москве противотанковый снаряд прилетел прямо во двор. Всё случилось в СНТ Зверево под Троицком, пишут «Известия». Снаряд, вероятно, прилетел с полигона Алабино, который находится в 3 км. Baza уточняет, что хозяина не было дома, но соседи слышали свист и взрыв на его дворе. Когда мужчина разобрал осколки, то сделал вывод, что это снаряд. Началось?	Противотанковый управляемый снаряд упал возле жилого дома в Новой Москве. Соседи хозяина дома рассказали, что услышали громкий свист, а потом раздался взрыв. Снаряд прилетел, вероятнее всего, с военного полигона «Алабино» — он находится в 3 километрах от дома. Пострадавших нет, повредило брусчатку у дома и бампер у Kia Rio.	ok
https://t.me/Ateobreaking/74615	https://t.me/rgrunews/60219	"Президент США Джо Байден подверг резкой критике республиканцев, допускающих возможность сокращения помощи Вашингтона Киеву. Они говорят, что если они победят [на выборах в Конгресс], то, вероятно, не будут продолжать финансировать Украину. <..> У них нет никакого понимания американской внешней политики"", - заявил он."	79-летний президент США Джо Байден снова поздоровался с невидимкой, а потом еле нашёл выход со сцены. Российская газета.	bad
https://t.me/tass_agency/162098	https://t.me/rbc_news/61186	"Учебные заведения города Ковеля Волынской области несколько дней не будут работать в связи с отсутствием энергоснабжения, сообщил мэр Игорь Чайка. ""Должен предупредить, что жилой сектор, возможно, несколько дней будет без света"", — цитирует мэра издание ""Главком"". Кроме того, по словам Чайки, не будут работать школы и детсады."	В Киеве, а также в Киевской, Черниговской, Черкасской и Житомирской областях ограничат потребление электричества — в «Укрэнерго» сообщили, что утром в этих регионах «критически увеличилось потребление». Ограничения нужны, чтобы уменьшить нагрузку на энергосети и «избежать повторных аварий», объяснили в компании.	bad
https://t.me/sotaproject/48575	https://t.me/tass_agency/162234	В петербургскую квартиру активистки Лины Барабаш, где проходит вечер писем политзаключенным, пришла полиция и угрожает выломать дверь, руководствуясь постановлением на обыск. Поводом силовики называют опрос Барабаш по поводу митинга 21 сентября, сообщает «ПЬЯTNIЦА». Фото: Лина Барабаш.	"Активисты из протестной природоохранной группы Letzte Generation облили в музее ""Барберини"" в Потсдаме картину французского художника Клода Моне из серии ""Стога"" густой желтой жидкостью, вероятно, картофельным пюре, сообщила представитель учреждения Каролин Штранц. В полиции уточнили, что два человека были задержаны, они подозреваются в незаконном проникновении в здание и причинении вреда имуществу. Активисты облили картину и приклеили себя рядом с ней к колонне."	bad
https://t.me/tass_agency/162151	https://t.me/stormdaily/52613	Лиз Трасс устроила вечеринку по случаю своей отставки в загородной резиденции Чекерс под Лондоном, другая вечеринка запланирована на 23 октября, пишет газета The Sunday Times. По ее данным, Трасс проводила мероприятие, чтобы поблагодарить министров правительства, которое она возглавляла. Воскресную вечеринку экс-премьер устраивает для своих ближайших соратников и их партнеров. Газета отмечает, что подобным образом поступал и Борис Джонсон, когда исполнял обязанности премьера после заявления об уходе с поста.	Лиз Трасс активно отмечает свою отставку. Она уже устроила одну вечеринку в загородной резиденции Чекерс под Лондоном. На сегодня запланирована еще одна. The Sunday Times пишет, что Трасс проводила мероприятие, чтобы «поблагодарить министров» правительства. Воскресный прием политик устраивает для своих ближайших соратников и их партнеров.	ok
https://t.me/kommersant/41597	https://t.me/ru2ch_news/58495	В Италии по запросу Минюста США арестован Артем Усс, сын губернатора Красноярского края Александра Усса. Артема Усса, а также еще четырех россиян и двух нефтетрейдеров из Венесуэлы обвиняют в уклонении от санкций и отмывании денег. По версии Министерства юстиции США, россияне участвовали в схемах по реализации нефти из Венесуэлы с использованием подставных компаний и криптовалют. Кроме того, они занимались закупкой на Западе подсанкционной электроники двойного назначения и военных технологий.	Сын губернатора Красноярского края Артём Усс арестован в Италии и ожидает экстрадиции в Штаты по делу об отмывании денег, сообщил Минюст США. Артёма Усса, а также еще четырёх россиян и двух нефтетрейдеров из Венесуэлы обвиняют в уклонении от санкций и отмывании денег. По версии Министерства юстиции США, россияне участвовали в схемах по реализации нефти из Венесуэлы с использованием подставных компаний и криптовалют. Также они занимались закупкой на Западе подсанкционной электроники двойного назначения.	ok
https://t.me/stormdaily/52466	https://t.me/bbcrussian/36421	Сын Трампа продолжает троллить Зеленского. В соцсетях сын экс-главы США опубликовал фото президента Украины с подписью: «За прошлый месяц я заработал 40 миллиардов долларов, работая из дома! Учитесь!» Это непрозрачный намек на умение Зеленского просить деньги у Запада.	"Кадыров показал, как его дети стреляют в Украине. Глава Чечни Рамзан Кадыров, ранее заявлявший об отправке своих несовершеннолетних сыновей на войну в Украину, опубликовал видео, утверждая, что его дети приняли участие в боевых действиях на украинской территории. Сыновьям Кадырова Адаму, Эли и Ахмату 14, 15 и 16 лет. Глава Чечни, активно принимающем участие в российском вторжении в Украину (находясь при этом не в Украине), утверждает, что они ""посетили линию соприкосновения"", где на данный момент ""идут ожесточенные бои"". ""Ахмат, Эли и Адам пробрались вплотную к позициям противника и обеспечили огневое прикрытие наступающим бойцам"", \- пишет Кадыров в своем телеграм-канале. На опубликованном видео слышна стрельба, а подростки ведут огонь в том числе из гранатомета в том направлении, где стреляют. Им также дали сделать выстрелы из других видов оружия. Конвенция ООН о правах ребенка, которую ратифицировала Россия, обязывает государства принимать все возможные меры для обеспечения того, чтобы лица, не достигшие 15-летнего возраста, не принимали прямого участия в военных действиях. Российские официальные лица, отвечающие за права ребенка, до сих пор не комментировали заявления Кадырова об отправке своих сыновей на войну."	bad
